,station_id,lat,lng,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
308,31527,38.912524,-77.008798,0,0,0,0,0,0,0,0,0,2606
309,31528,38.9387375,-76.99723983,0,0,0,0,0,0,0,0,0,371
310,31529,38.924144,-77.002098,0,0,0,0,0,0,0,0,0,566
311,31530,38.910993,-76.985854,0,0,0,0,0,0,0,0,0,0
312,31600,38.90304,-77.019027,1778,18066,23785,25576,24814,27965,30067,30431,27048,21935
313,31601,38.8896,-76.9769,237,3044,4433,4575,5901,5943,5896,6894,5282,5433
314,31602,38.9308,-77.0315,2420,18172,23347,24411,24242,23567,20503,16942,15514,13438
315,31603,38.90574,-77.0054465,914,12906,20565,20063,22725,27023,28119,31338,31630,31545
316,31604,38.899408,-77.015289,1192,12535,18619,18737,11180,10778,10280,10069,8900,7688
317,31605,38.8851,-77.0023,1191,13066,17583,17108,14675,13118,12251,10212,9766,9259
318,31606,38.8803,-76.9862,856,7945,11754,11447,10225,9430,9123,9603,8833,8254
319,31607,38.882915,-76.987906,736,7436,10023,10548,10668,10306,9344,8710,5229,3961
320,31608,38.8792,-76.9953,546,5051,6332,6842,6282,6716,6550,6937,6524,6107
321,31609,38.878693,-77.023054,390,5581,5875,6176,5767,5941,5962,9067,13085,13682
322,31610,38.8870305,-76.9968065,1029,11966,18251,17916,17095,15856,15252,15586,13524,13071
323,31611,38.900426,-76.98825,657,11004,12964,12661,14062,15576,13592,14407,12905,12352
324,31612,38.894758,-76.997114,0,0,14899,16885,16775,15674,13107,13051,12219,11064
325,31613,38.88430667,-76.99464917,2080,23002,33027,34773,33740,31277,32103,32404,31111,29298
326,31614,38.899983,-76.991383,0,214,10861,12006,11198,10442,9530,9896,8862,8930
327,31615,38.899972,-76.998347,0,248,10702,12825,11542,14078,13805,19543,20062,20346
328,31616,38.900412,-77.001949,678,11661,13175,14395,22061,20619,19716,20103,17275,15537
329,31617,38.90052933,-76.98314633,136,3693,5079,5520,5778,6537,5213,5276,5168,3419
330,31618,38.889955,-77.000349,752,12975,18130,18459,16888,16428,16571,15938,12562,10986
331,31619,38.890461,-76.988355,1344,17351,24098,20856,17640,17685,17268,17759,15858,15134
332,31620,38.897263,-77.01928167,1746,14942,15822,15361,14382,15085,15310,16415,14185,12097
333,31621,38.895344,-77.016106,0,3471,10424,9538,8701,8925,10586,10660,9147,8658
334,31622,38.894832,-76.987633,674,10550,15549,15452,14237,14027,12508,13076,11778,12169
335,31623,38.89696,-77.00493,1554,32058,45692,58727,65507,70483,68350,70062,63493,58533
336,31624,38.897446,-77.009888,919,16852,26548,29643,27193,26193,28022,30370,26522,16173
337,31625,38.881185,-77.001828,0,329,9281,10370,10324,10383,9907,10830,11054,11478
338,31626,38.88732,-76.983569,0,47,8976,9262,9379,8135,8066,8053,7391,8156
339,31627,38.90548383,-77.00212633,0,0,0,10049,14149,17799,17946,21703,18731,22330
340,31628,38.87873783,-77.00588133,0,0,11473,14129,15009,15720,17056,20892,19255,14918
341,31629,38.889988,-76.995193,0,0,0,5956,10227,10351,10497,10033,7857,7682
342,31630,38.889908,-76.983326,0,0,0,4994,8283,8252,8147,7794,7035,6984
343,31631,38.89725917,-76.99474983,0,0,0,7528,12306,12215,10384,10426,9123,8318
344,31632,38.897195,-76.983575,0,0,0,3492,6390,7500,7778,8081,7140,6359
345,31633,38.887312,-77.025762,0,0,0,2537,7452,7464,8961,10915,9602,8449
346,31634,38.87501,-77.0024,0,0,0,930,7383,11014,12226,15270,12952,8920
347,31635,38.876737,-76.994468,0,0,0,458,2407,3184,3555,4097,4087,4085
348,31636,38.907332,-77.01536,0,0,0,675,8872,12252,11326,9982,9246,9725
349,31637,38.899703,-77.008911,0,0,0,114,8099,9743,10918,10689,9229,8044
350,31638,38.900358,-77.012108,0,0,0,0,6894,10081,9726,11708,11827,9183
351,31639,38.89979583,-77.003451,0,0,0,0,0,5702,13064,14337,12692,12704
352,31640,38.896134,-76.9929,0,0,0,0,0,853,9324,11342,10127,9786
353,31641,38.89497083,-77.003143,0,0,0,0,0,0,11108,18326,17117,15283
354,31642,38.90236383,-77.01584183,0,0,0,0,0,0,1368,4401,4519,6711
355,31643,38.884916,-77.005965,0,0,0,0,0,0,3204,13741,14043,13070
356,31644,38.88255817,-76.99013283,0,0,0,0,0,0,47,4925,4906,4956
357,31645,38.90310283,-76.99835283,0,0,0,0,0,0,48,7595,6789,6750
358,31646,38.88049533,-77.02527,0,0,0,0,0,0,0,1489,12980,15960
359,31647,38.89222,-76.99602,0,0,0,0,0,0,0,0,9365,9469
360,31648,38.86968315,-77.01081544,0,0,0,0,0,0,0,0,1748,3966
361,31649,38.931991,-77.032956,0,0,0,0,0,0,0,0,2684,11150
362,31650,38.876893,-77.006072,0,0,0,0,0,0,0,0,2497,10374
363,31651,38.931321,-77.028247,0,0,0,0,0,0,0,0,2276,10735
364,31652,38.87659083,-77.00052817,0,0,0,0,0,0,0,0,435,9604
365,31653,38.902674,-77.021392,0,0,0,0,0,0,0,0,1294,11756
366,31654,38.876211,-77.012443,0,0,0,0,0,0,0,0,117,3261
367,31655,38.897108,-77.011616,0,0,0,0,0,0,0,0,235,11896
368,31656,38.901935,-76.978627,0,0,0,0,0,0,0,0,85,2814
369,31657,38.892934,-76.998273,0,0,0,0,0,0,0,0,133,7783
370,31658,38.897838,-76.97969867,0,0,0,0,0,0,0,0,0,3532
