,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
180,31249,38.879819,-77.037413,Jefferson Memorial,0,0,11369,23571,29597,35700,35372,42525,35752,25901
181,31250,38.903584,-77.044789,20th & L St NW,0,0,4737,10357,9507,9747,9451,9580,8764,8785
182,31251,38.903819,-77.0284,12th & L St NW,0,0,8390,15940,15358,15864,15228,14420,15071,15736
183,31252,38.901539,-77.046564,21st St & Pennsylvania Ave NW,0,0,4990,10946,10873,11103,10534,10505,9610,7969
184,31253,38.902204,-77.04337,19th & K St NW,0,0,4981,10913,10431,10402,9816,9818,9241,8543
185,31254,38.902,-77.03353,15th & K St NW,0,0,6210,15332,15377,15595,14611,14871,10674,10836
186,31255,38.906696999999994,-77.05108916666667,24th & N St NW,0,0,5044,12694,13844,15628,14279,14329,12034,10486
187,31256,38.895965999999994,-77.02590433333333,10th & E St NW,0,0,6280,14261,13767,13593,14305,15410,15156,10839
188,31257,38.90088,-77.048911,22nd & I St NW / Foggy Bottom,0,0,9289,25758,24405,22459,21438,20616,17651,17073
189,31258,38.888255,-77.049437,Lincoln Memorial,0,0,5626,43686,57170,69609,60199,65884,53869,35268
190,31259,38.894721999999994,-77.045128,20th St & Virginia Ave NW,0,0,0,4930,5162,5495,5110,4803,4439,4108
191,31260,38.89610683333333,-77.04976833333333,23rd & E St NW ,0,0,0,8690,10210,11325,12363,12385,10854,9932
192,31261,38.892459,-77.04656700000001,21st St & Constitution Ave NW,0,87,0,10671,12495,13503,10987,8448,7739,6505
193,31262,38.897548666666665,-77.02731166666666,11th & F St NW,0,22,16,10411,12942,13867,12353,11190,9771,8157
194,31263,38.902283000000004,-77.02622666666667,10th & K St NW,0,0,0,13132,17507,18072,18056,19381,18534,18134
195,31264,38.894573,-77.01994,6th St & Indiana Ave NW,0,0,0,12624,15077,16292,15382,17330,16235,12124
196,31265,38.900929999999995,-77.018677,5th St & Massachusetts Ave NW,0,0,0,12544,24277,23967,24952,25605,22588,20848
197,31266,38.905578000000006,-77.027313,11th & M St NW,3,1,0,16103,24214,24698,22904,22725,23434,22748
198,31267,38.90817033333333,-77.03837183333333,17th St & Massachusetts Ave NW,0,0,0,13255,21480,23310,21739,22191,21538,20377
199,31268,38.91661066666666,-77.02810033333333,12th & U St NW,0,0,0,11479,22105,19702,18694,17680,17146,17573
200,31269,38.887378000000005,-77.00195500000001,3rd St & Pennsylvania Ave SE,0,0,0,6975,16653,18628,20040,18710,16737,13842
201,31270,38.894851,-77.02324,8th & D St NW,0,0,0,5297,14582,15684,16639,18382,15532,12652
202,31271,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL,0,0,0,8370,20815,23593,26069,28716,23877,19358
203,31272,38.886978000000006,-77.013769,Washington & Independence Ave SW/HHS,0,0,0,5492,18050,19315,18667,20765,16767,15367
204,31273,38.878433,-77.03023,Hains Point/Buckeye & Ohio Dr SW,0,0,0,118,4949,5032,6416,6585,6069,6142
205,31274,38.89842133333333,-77.02611983333334,10th & G St NW,0,0,0,0,4462,12917,12033,11665,10695,8717
206,31275,38.901755,-77.051084,New Hampshire Ave & 24th St NW,0,0,0,0,4698,14929,17216,19252,17741,15119
207,31276,38.903649,-77.034918,15th & L St NW,0,0,0,0,2836,17809,14775,13579,12550,10261
